Age Group,Population aged 3 to 24 Years,CA_M&F,CA_M,CA_F,NCA_M&F,NCA_M,NCA_F
TOTAL,"46,746","31,943","16,131","15,812","14,803","7,896","6,907"
Percent to Total,100,68.3,34.5,33.8,31.7,16.9,14.8
Total,,100,100,100,100,100,100
3 to 5 ,"6,769",5.1,5.2,5,34.7,34.2,35.3
6 to 9,"9,075",27.5,27.9,27,2.1,2.2,2
10 to 12,"6,497",19.7,20,19.4,1.4,1.6,1.2
13 to 14,"4,302",12.9,12.9,12.9,1.3,1.6,0.9
15 to 16,"4,304",12.3,12.1,12.5,2.5,3.2,1.8
17 to 19,"6,037",14.4,13.8,14.9,9.8,10.7,8.7
20 to 24,"9,764",8.2,8.2,8.3,48.2,46.6,50.1
