Yr,Population (1000),# of L.Births,Crude B.R.,Birth Increase/Decrease,Percentage Change
2018,105755,1668120,15.8,-32498,-1.9
2017,104921,1700618,16.2,-30671,-1.8
2016,103243,1731289,16.8,-13478,-0.8
2015,100981,1744767,17.2,-4090,-0.2
2014,99880,1748857,17.5,-12745,-0.7
2013,98197,1761602,17.9,-28765,-1.6
2012,96511,1790367,18.6,43683,2.5
2011,94824,1746684,18.4,-36297,-2
2010,92335,1782981,19.1,37397,2.1
2009,92227,1745584,18.9,-38732,-2.2
2008,90457,1784316,19.7,34438,2
2007,88548,1749878,19.7,86849,5.2
2006,86973,1663029,19.1,-25889,-1.5
2005,84241,1688918,19.8,-22076,-1.3
2004,82663,1710994,20.5,41552,2.5
2003,81081,1669442,20.4,2669,0.2
2002,79503,1666773,20.8,-47320,-2.8
2001,77926,1714093,21.8,-52347,-3
2000,76507,1766440,23,153105,9.5
1999,74746,1613335,21.6,-19524,-1.2
1998,73147,1632859,22.3,-20377,-1.2
1997,71549,1653236,23.1,44768,2.8
1996,69951,1608468,23,-36575,-2.2
1995,68617,1645043,24,32,0
1994,68624,1645011,24,-35885,-2.1
1993,66982,,25.1,-3499,-0.2
1992,65339,1684395,25.8,41099,2.5
1991,63729,1643296,25.8,12227,0.7
1990,60703,1631069,26.9,65815,4.2
1989,60097,1565254,26,-118,0
1988,58721,1565372,26.7,-17097,-1.1
1987,57356,1582469,27.6,88474,5.9
1986,56004,1493995,26.7,56841,4
1985,54668,1437154,26.3,-41051,-2.8
1984,53351,1478205,27.7,-28151,-1.9
1983,52055,1506356,28.9,31865,2.2
1982,50783,1474491,29,13287,0.9
1981,49536,1461204,29.5,4344,0.3
1980,48098,1456860,30.3,27046,1.9
1979,46592,1429814,30.7,42226,3
1978,45498,1387588,30.5,42752,3.2
1977,44417,1344836,30.3,29976,2.3
1976,43338,1314860,30.3,91023,7.4
1975,42071,1223837,29.1,142764,13.2
1974,41279,1081073,26.2,31783,3
1973,40123,1049290,26.2,80905,8.4
1972,38991,968385,24.8,4636,0.5
1971,37902,963749,25.4,-3013,-0.3
1970,36684,966762,26.4,20009,2.1
1969,35774,946753,26.5,48183,5.4
1968,34728,898570,25.9,58268,6.9
1967,33713,840302,24.9,16960,2.1
1966,32727,823342,25.2,27927,3.5
1965,31770,795415,25,-7233,-0.9
1964,30841,802648,26,15950,2
1963,29937,786698,26.3,11552,1.5
1962,29064,775146,26.7,127300,19.6
1961,28214,647846,23,-1805,-0.3
1960,27088,649651,24,32758,5.3
1959,26584,616893,23.2,132301,27.3
1958,25795,484592,18.8,-29610,-5.8
1957,25030,514202,20.5,-28047,-5.2
1956,24288,542249,22.3,-192512,-26.2
1955,23568,734761,31.2,32099,4.6
1954,22869,702662,30.7,234173,50
1953,21039,468489,22.3,-182236,-28
1952,20646,650725,31.5,13461,2.1
1951,20260,637264,31.5,-5208,-0.8
1950,19881,642472,32.3,33334,5.5
1949,19509,642472,31.2,6723,1.1
1948,19234,609415,31.3,330189,121.3
1947,18786,272226,14.5,-261057,-49
1946,18434,533283,28.9,,
1945,,,,,
1944,,,,,
1943,,,,,
1942,,,,,
1941,,,,,
1940,16460,535117,32.5,12685,2.4
1939,16000,522432,32.7,10043,2
1938,15814,512389,32.4,-1371,-0.3
1937,15445,513760,33.3,28634,5.9
1936,15084,485126,32.2,23716,5.1
1935,14731,461410,31.3,13672,3.1
1934,14387,447738,31.1,-11944,-2.6
1933,14051,459682,32.7,12742,2.9
1932,13724,446940,32.6,6781,1.5
1931,13405,440159,32.8,10914,2.5
1930,13094,429245,32.8,249,0.1
1929,12792,428996,33.5,6280,1.5
1928,12498,422716,33.8,8359,2
1927,12212,414357,33.9,13918,3.5
1926,11935,400439,33.6,15021,3.9
1925,,,,,
1924,,,,,
1923,11152,385418,34.6,11912,3.2
1922,10908,373506,34.2,9074,2.5
1921,10673,364432,34.1,13237,3.8
1920,10445,351195,33.6,44363,14.5
1919,10324,306832,29.7,-38919,-11.3
1918,10314,345751,33.5,-7532,-2.1
1917,9836,353283,35.9,12654,3.7
1916,9542,340629,35.7,13423,4.1
1915,9269,327206,35.3,-20131,-5.8
1914,9017,347337,38.5,31281,9.9
1913,8786,316056,36,25061,8.6
1912,8576,290995,33.9,-11860,-3.9
1911,8387,302855,36.1,12645,4.4
1910,8220,290210,35.3,55484,23.6
1909,8095,234726,29,-43643,-15.7
1908,7964,278369,35,20359,7.9
1907,7844,258010,32.9,42714,19.8
1906,7761,215296,27.7,-29290,-12
1905,7699,244586,31.8,28410,13.1
1904,7659,216176,28.2,-68624,-24.1
1903,7635,284800,37.3,,
